Maldives,Indian Ocean Island Games
Maldives,SAFF Championship
Maldives,South Asian Games
Mali,African Championship
Mali,African Championship qualification
Mali,African Cup of Nations
Mali,African Cup of Nations qualification
Mali,Aisha Buhari Cup
Mali,CAF Olympic Qualifying Tournament
Mali,Friendly
Mali,WAFU Zone A Cup
Mali,WAFU Zone B Cup
Malta,Aphrodite Cup
Malta,FIFA World Cup qualification
Malta,Friendly
Malta,Malta International Tournament
Malta,UEFA Euro qualification
Malta,UEFA Nations League
Malta,VisitMalta Women's Trophy
Martinique,CONCACAF Championship
Martinique,CONCACAF Championship qualification
Martinique,CONCACAF Gold Cup qualification
Mauritania,African Cup of Nations qualification
Mauritania,WAFU Zone A Cup
Mauritius,African Cup of Nations qualification
Mauritius,COSAFA Championship
Mauritius,Indian Ocean Island Games
Mauritius,SAFF Women's Friendly Tournament
Mayotte,Indian Ocean Island Games
Menorca,Island Games
Mexico,Algarve Cup
Mexico,Australian Cup
Mexico,CONCACAF Championship
Mexico,CONCACAF Championship qualification
Mexico,CONCACAF Gold Cup
Mexico,CONCACAF Gold Cup qualification
Mexico,CONCACAF Olympic Qualifying Tournament
Mexico,CONCACAF Pre-Olympic Tournament
Mexico,CONCACAF Pre-Olympic Tournament qualification
Mexico,Central American and Caribbean Games
Mexico,Cyprus Cup
Mexico,FIFA World Cup
Mexico,FIFA World Cup qualification
Mexico,Four Nations Tournament
Mexico,Friendly
Mexico,International Tournament
Mexico,MS&AD Cup
Mexico,Mundialito
Mexico,Olympic Games
Mexico,Pan American Games
Mexico,Peace Queen Cup
Mexico,Pinatar Cup
Mexico,Turkish Women's Cup
Mexico,U.S. Cup
